ids,labels,parents
Pampa,Pampa,
Buenos Aires,Buenos Aires,
Centro,Centro,
NOA,NOA,
NEA,NEA,
Patagonia,Patagonia,
Cuyo,Cuyo,
Pampa-La Pampa,La Pampa,Pampa
Pampa-Buenos Aires,Buenos Aires,Pampa
Buenos Aires-AMBA,AMBA,Buenos Aires
Patagonia-Neuquen,Neuquen,Patagonia
NEA-Misiones,Misiones,NEA
Patagonia-Rio Negro,Rio Negro,Patagonia
NOA-Salta,Salta,NOA
NOA-Santiago del Estero,Santiago del Estero,NOA
Patagonia-Chubut,Chubut,Patagonia
NEA-Formosa,Formosa,NEA
NEA-Chaco,Chaco,NEA
NOA-Jujuy,Jujuy,NOA
Centro-Cordoba,Cordoba,Centro
Cuyo-Mendoza,Mendoza,Cuyo
Buenos Aires-Hudson,Hudson,Buenos Aires
Centro-Santa Fe,Santa Fe,Centro
Cuyo-La Rioja,La Rioja,Cuyo
Centro-Entre Rios,Entre Rios,Centro
Cuyo-San Juan,San Juan,Cuyo
Patagonia-Tierra del Fuego,Tierra del Fuego,Patagonia
NOA-Tucuman,Tucuman,NOA
Cuyo-Otra,Otra,Cuyo
NEA-Corrientes,Corrientes,NEA
NOA-Catamarca,Catamarca,NOA
NEA-Avellaneda,Avellaneda,NEA
Buenos Aires-BELLA VISTA,BELLA VISTA,Buenos Aires
Buenos Aires-San Andres,San Andres,Buenos Aires
La Pampa-Santa Rosa,Santa Rosa,Pampa-La Pampa
Buenos Aires-Tandil,Tandil,Pampa-Buenos Aires
Buenos Aires-Mar Del Plata,Mar Del Plata,Pampa-Buenos Aires
AMBA-Parque Chacabuco,Parque Chacabuco,Buenos Aires-AMBA
Neuquen-Neuquen,Neuquen,Patagonia-Neuquen
La Pampa-General Pico,General Pico,Pampa-La Pampa
Misiones-Posadas,Posadas,NEA-Misiones
Rio Negro-Copolletti,Copolletti,Patagonia-Rio Negro
Neuquen-centenario,centenario,Patagonia-Neuquen
AMBA-CABA,CABA,Buenos Aires-AMBA
Buenos Aires-Rauch,Rauch,Pampa-Buenos Aires
AMBA-Brandsen,Brandsen,Buenos Aires-AMBA
Salta-Capital,Capital,NOA-Salta
Santiago del Estero-La Banda,La Banda,NOA-Santiago del Estero
AMBA-MARTINEZ,MARTINEZ,Buenos Aires-AMBA
Rio Negro-Cinco Saltos,Cinco Saltos,Patagonia-Rio Negro
Salta-Salta,Salta,NOA-Salta
Buenos Aires-Batan,Batan,Pampa-Buenos Aires
Misiones-ELDORADO,ELDORADO,NEA-Misiones
